最終通信日時,デバイス名,管理番号,物件名,環境,"状態
",Ver.,バッテリー,温度,音量,天気,気温,明るさ,バッテリー健全性,電流入出力,端末モデル,IMEI,ライセンス認証ステータス,再生チャンネル,ネットワーク,左上プレビュー表示,ネットワーク環境,オフライン率,SD録画保存日,SD録画保存日,設置完了日時,ブート日時,アプリ起動日時,初期設定日時
2019-11-20 09:50:07(18分前),001226,Y4-392,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,21.5℃,0%,曇,12℃,10,良好,0,Lenovo TAB4 SIM,866423030613514,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-05-16 10:50:12(6ヶ月前),2019-10-10 00:06:27(1ヶ月前),2019-11-19 13:55:17(20時間前),2019-03-19 16:12:31(8ヶ月前)
2019-11-20 09:50:07(18分前),000883,AN2-842,スリーアイランドタワー丸の内,本番中,正常,3.0.20,100%,22.2℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030628041,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-03-04 10:49:49(8ヶ月前),2019-10-01 01:24:55(1ヶ月前),2019-10-07 10:41:37(1ヶ月前),2019-02-13 11:48:52(9ヶ月前)
2019-11-20 09:50:08(18分前),010087,X4-580,エクラシア東久留米,本番中,正常,3.0.20,100%,27.5℃,40%,曇,11℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030743832,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,36%,2019-11-17,,2019-08-30 15:43:34(2ヶ月前),2019-10-25 05:46:59(3週間前),2019-11-13 11:29:22(6日前),2019-07-16 11:52:51(4ヶ月前)
2019-11-20 09:50:08(18分前),000543,G-270,プレール東池袋,本番中,正常,3.0.20,100%,23.7℃,40%,曇,11℃,40,良好,0,Lenovo TAB4 SIM,866423030440314,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-02-27 09:42:32(8ヶ月前),2019-10-14 00:11:28(1ヶ月前),2019-10-14 00:12:23(1ヶ月前),2018-12-13 15:52:46(11ヶ月前)
2019-11-20 09:50:08(18分前),000449,P-552,パレステュディオ文京音羽,本番中,正常,3.0.20,100%,26℃,0%,曇,13℃,50,良好,充電 338mAh,Huawei T3 10,868355036541547,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-01-09 11:22:10(10ヶ月前),2019-10-27 09:06:21(3週間前),2019-11-17 15:59:27(2日前),2018-11-29 15:37:01(11ヶ月前)
2019-11-20 09:50:08(18分前),001796,R-914,コーポシンビオ,本番中,正常,3.0.20,100%,21.7℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030800319,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,84%,2019-11-17,,2019-10-16 16:28:45(1ヶ月前),2019-10-17 12:05:19(1ヶ月前),2019-11-19 18:22:27(15時間前),2019-04-19 11:19:52(7ヶ月前)
2019-11-20 09:50:09(18分前),000424,F1-239,グランツ経堂,本番中,正常,3.0.20,100%,26℃,40%,曇,11℃,50,良好,充電 264mAh,Huawei T3 10,868355036543295,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-01-07 12:03:07(10ヶ月前),2019-11-19 02:30:26(1日前),2019-11-19 20:04:14(14時間前),2018-11-28 16:19:05(11ヶ月前)
2019-11-20 09:50:09(18分前),001611,K-884,GRAND CREST(1402510),本番中,正常,3.0.20,100%,27℃,20%,曇,13℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030674607,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-05-30 15:18:21(5ヶ月前),2019-11-05 21:40:23(2週間前),2019-11-19 07:34:11(1日前),2019-04-16 14:19:33(7ヶ月前)
2019-11-20 09:50:10(18分前),010084,HK7-078,カサ・パラシオン,本番中,正常,2.0.00,100%,15.7℃,20%,雪,-6℃,40,良好,0,Lenovo TAB4 SIM,,,sample_channel,4G:2本,表示,通常,0%,2019-11-16,,2019-11-01 11:04:49(2週間前),2019-11-10 05:52:57(1週間前),2019-11-10 10:13:40(1週間前),2019-07-16 11:33:56(4ヶ月前)
2019-11-20 09:50:10(18分前),000211,S-176,ハーモニーヒルズ,本番中,正常,3.0.20,100%,29℃,40%,曇,13℃,50,良好,充電 225mAh,Huawei T3 10,868355032511650,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-10-01 10:25:43(1年前),2019-10-23 07:00:32(4週間前),2019-11-18 08:06:38(2日前),2018-09-20 16:04:03(1年前)
2019-11-20 09:50:11(18分前),000593,Y3-429,カリビアンフラット,本番中,正常,3.0.20,100%,22℃,20%,曇,13℃,50,良好,充電 473mAh,Huawei T3 10,868355037432076,準備中,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-14,,2019-01-24 17:08:10(9ヶ月前),2019-11-14 06:18:52(6日前),2019-11-17 05:21:16(3日前),2019-01-08 17:46:58(10ヶ月前)
2019-11-20 09:50:11(18分前),002133,ST5-602,メーゾン狭山ヶ丘,本番中,正常,3.0.20,100%,20℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030794678,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-21 13:33:26(2ヶ月前),2019-11-08 07:40:17(1週間前),2019-11-08 07:41:10(1週間前),2019-06-28 11:24:45(4ヶ月前)
2019-11-20 09:50:11(18分前),000835,AN2-222,シーアイマンション第2本郷,本番中,正常,3.0.20,100%,25.7℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030629122,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-03-06 13:41:40(8ヶ月前),2019-11-18 11:02:16(1日前),2019-11-18 11:03:12(1日前),2019-02-08 09:55:25(9ヶ月前)
2019-11-20 09:50:12(18分前),001675,HK4-881,エンドレス五稜郭B棟,本番中,正常,3.0.20,100%,15.7℃,20%,雪,-3℃,50,良好,0,Lenovo TAB4 SIM,866423030671389,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-06-25 15:02:03(4ヶ月前),2019-11-17 06:31:16(3日前),2019-11-17 06:32:11(3日前),2019-04-17 10:58:16(7ヶ月前)
2019-11-20 09:50:12(18分前),010341,ST4-057,SKプラザ蕨ビル,本番中,正常,3.0.00,100%,23.5℃,20%,曇,13℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030743188,不正,sample_channel,4G:2本,表示,通常,2%,2019-11-17,,2019-10-23 10:50:25(3週間前),2019-10-28 09:03:37(3週間前),2019-10-28 09:04:33(3週間前),2019-09-26 13:34:47(1ヶ月前)
2019-11-20 09:50:13(18分前),001908,SI1-787,清水ポートガーデン,本番中,正常,3.0.20,100%,22.5℃,40%,曇,14℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030792409,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-09-06 14:41:16(2ヶ月前),2019-11-20 09:00:21(1時間前),2019-11-20 09:01:14(1時間前),2019-05-23 10:45:28(5ヶ月前)
2019-11-20 09:50:14(18分前),001478,IB-994,海老原ビル,本番中,正常,3.0.20,100%,24℃,0%,曇,12℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030802422,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-05-31 13:55:30(5ヶ月前),2019-11-13 17:10:56(6日前),2019-11-13 17:11:49(6日前),2019-04-12 10:19:22(7ヶ月前)
2019-11-20 09:50:14(18分前),001304,HK858,エストール南12,本番中,正常,3.0.20,100%,14℃,20%,曇,-2℃,50,不明,0,Lenovo TAB4 SIM,866423030677592,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-04-09 10:05:57(7ヶ月前),2019-11-15 08:37:08(5日前),2019-11-15 08:37:55(5日前),2019-03-28 13:38:50(7ヶ月前)
2019-11-20 09:50:14(18分前),001513,AN3-107,新日本法規出版株式会社,本番中,正常,3.0.20,100%,26℃,40%,曇,9℃,50,良好,流出 15mAh,Lenovo TAB4 SIM,866423030674235,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-07-24 18:28:19(3ヶ月前),2019-10-07 08:30:26(1ヶ月前),2019-11-18 08:21:30(2日前),2019-04-12 14:07:30(7ヶ月前)
2019-11-20 09:50:14(18分前),010321,ST5-114,芝3丁目貸ビル,本番中,正常,3.0.00,100%,26℃,20%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030749862,未取得,sample_channel,4G:4本,表示,通常,0%,2019-11-17,,2019-11-13 14:46:33(6日前),2019-11-18 21:56:40(1日前),2019-11-18 21:57:35(1日前),2019-09-25 13:28:09(1ヶ月前)
2019-11-20 09:50:15(18分前),010251,F1-308,メゾンやまあき,本番中,正常,3.0.20,100%,26℃,40%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030748898,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,5%,2019-11-17,,2019-09-30 14:02:59(1ヶ月前),2019-10-19 04:13:41(1ヶ月前),2019-10-19 04:14:33(1ヶ月前),2019-09-17 11:44:08(2ヶ月前)
2019-11-20 09:50:15(18分前),010143,S-01,グランジュール下井草,本番中,正常,3.0.20,100%,25℃,40%,曇,10℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030759515,正常,sample_channel,4G:4本,表示,通常,0%,2019-11-17,,2019-10-25 18:37:24(3週間前),2019-11-16 05:16:29(4日前),2019-11-16 05:17:23(4日前),2019-08-28 09:09:56(2ヶ月前)
2019-11-20 09:50:16(18分前),000681,OS-619,GEパークサイド,本番中,正常,3.0.20,100%,21℃,20%,曇,8℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030633348,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-06 14:25:23(9ヶ月前),2019-11-10 16:19:57(1週間前),2019-11-10 16:20:51(1週間前),2019-01-31 16:31:26(9ヶ月前)
2019-11-20 09:50:16(18分前),001663,P-695,キャッスルマンション根津,本番中,正常,3.0.20,100%,23.2℃,0%,曇,12℃,50,良好,流出 10mAh,Lenovo TAB4 SIM,866423030799081,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-04 11:46:31(5ヶ月前),2019-09-06 06:34:27(2ヶ月前),2019-11-10 21:45:42(1週間前),2019-04-17 08:58:00(7ヶ月前)
2019-11-20 09:50:17(18分前),001019,I-423,コンフォートタイム大森,本番中,正常,3.0.20,100%,25℃,20%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030611609,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-03-22 14:13:22(7ヶ月前),2019-11-06 20:45:32(1週間前),2019-11-06 20:46:26(1週間前),2019-02-27 13:55:44(8ヶ月前)
2019-11-20 09:50:17(18分前),001845,T-822,エレガンス王子神谷,本番中,正常,3.0.20,100%,23.5℃,40%,曇,10℃,50,良好,流出 9mAh,Lenovo TAB4 SIM,866423030789165,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-05-31 14:33:19(5ヶ月前),2019-11-07 19:21:11(1週間前),2019-11-07 19:22:03(1週間前),2019-05-08 14:09:02(6ヶ月前)
2019-11-20 09:50:18(18分前),001398,ST-808,ウイステリア清水町,本番中,正常,3.0.20,100%,19.5℃,40%,晴,11℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030797002,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-22 12:34:43(3ヶ月前),2019-10-28 19:52:07(3週間前),2019-11-19 13:50:01(20時間前),2019-04-10 10:28:12(7ヶ月前)
2019-11-20 09:50:18(18分前),001220,Y4-395,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,25℃,0%,曇,12℃,50,良好,流出 6mAh,Lenovo TAB4 SIM,866423030610700,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-05-17 09:40:12(6ヶ月前),2019-09-06 06:35:01(2ヶ月前),2019-10-25 06:35:09(3週間前),2019-03-19 16:07:32(8ヶ月前)
2019-11-20 09:50:18(18分前),001000,W-77,エスアール青戸,本番中,正常,3.0.20,100%,24.5℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030614447,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-05-16 13:09:07(6ヶ月前),2019-11-10 11:50:35(1週間前),2019-11-10 11:51:30(1週間前),2019-02-26 13:12:33(8ヶ月前)
2019-11-20 09:50:18(18分前),001458,HK4-517,マンション黒田山鼻19条Ⅱ,本番中,正常,3.0.20,100%,17℃,20%,雪,-2℃,50,良好,0,Lenovo TAB4 SIM,866423030674250,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-19 13:44:13(4ヶ月前),2019-09-27 17:13:05(1ヶ月前),2019-11-16 12:22:14(3日前),2019-04-12 09:22:33(7ヶ月前)
2019-11-20 09:50:18(18分前),000232,AN2-574,ラディアントⅢ,本番中,正常,3.0.20,99%,25℃,40%,曇,10℃,50,良好,流出 761mAh,Huawei T3 10,868355032408832,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-10-19 11:16:53(1年前),2019-11-18 00:40:30(2日前),2019-11-18 00:42:12(2日前),2018-10-10 15:29:15(1年前)
2019-11-20 09:50:18(18分前),0083,L-421,ファベル中野新橋,本番中,正常,3.0.20,100%,23℃,40%,曇,11℃,50,良好,充電 118mAh,Huawei T3 10,868355032511239,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-10-11 11:05:45(1年前),2019-10-03 23:13:53(1ヶ月前),2019-11-19 00:26:18(1日前),2018-08-07 18:00:06(1年前)
2019-11-20 09:50:19(18分前),010624,CB-198,グランドヒルズ,本番中,正常,3.0.20,100%,23℃,0%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030886169,未取得,sample_channel,4G:3本,表示,通常,0%,2019-11-18,,2019-11-18 10:26:35(1日前),2019-11-18 10:24:34(1日前),2019-11-18 10:25:28(1日前),2019-10-30 15:24:35(2週間前)
2019-11-20 09:50:20(18分前),001233,AN2-932,プロシード新栄,本番中,正常,3.0.20,100%,26.5℃,40%,雨,10℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030676404,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-07-31 17:11:32(3ヶ月前),2019-11-16 11:29:03(3日前),2019-11-16 11:29:57(3日前),2019-03-19 16:20:14(8ヶ月前)
2019-11-20 09:50:20(18分前),001047,CB3-298,プロシードCO‐Z東館,本番中,正常,3.0.20,100%,25.2℃,20%,曇,14℃,50,良好,流出 9mAh,Lenovo TAB4 SIM,866423030611682,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-03-19 13:30:12(8ヶ月前),2019-11-10 02:22:25(1週間前),2019-11-18 09:19:15(2日前),2019-03-15 12:04:16(8ヶ月前)
2019-11-20 09:50:21(18分前),001936,ST4-725,ライズケア越谷,本番中,正常,3.0.20,100%,28.5℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030788837,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-09-17 17:24:01(2ヶ月前),2019-11-07 15:47:48(1週間前),2019-11-13 03:05:51(1週間前),2019-06-06 10:00:42(5ヶ月前)
2019-11-20 09:50:21(18分前),000645,AN1-801,キッシーズFC(フルフィルメントセンター),本番中,正常,3.0.20,100%,26℃,40%,曇,10℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030630419,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-02-27 13:35:34(8ヶ月前),2019-10-07 20:09:18(1ヶ月前),2019-11-11 14:50:57(1週間前),2019-01-28 15:54:00(9ヶ月前)
2019-11-20 09:50:22(18分前),001621,F-173,サンドー駒沢ビル,本番中,正常,3.0.20,100%,22.5℃,40%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030676008,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-08 10:01:20(5ヶ月前),2019-11-03 09:18:40(2週間前),2019-11-03 09:19:35(2週間前),2019-04-16 14:35:12(7ヶ月前)
2019-11-20 09:50:23(18分前),000224,U-552,コンフォート駒込,本番中,正常,3.0.20,97%,27℃,40%,曇,11℃,50,良好,充電 251mAh,Huawei T3 10,868355032511874,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-10-04 19:54:54(1年前),2019-10-31 05:42:40(2週間前),2019-11-16 05:46:53(4日前),2018-10-03 14:54:01(1年前)
2019-11-20 09:50:24(18分前),000230,J-705,エルスタンザ駒形,本番中,正常,3.0.20,95%,25℃,40%,曇,11℃,50,良好,充電 228mAh,Huawei T3 10,868355032409061,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2018-11-28 15:43:08(11ヶ月前),2019-11-16 14:57:29(3日前),2019-11-17 21:04:32(2日前),2018-10-05 15:10:22(1年前)
2019-11-20 09:50:24(18分前),010056,ST3-626,エクラシア川口榛松,本番中,正常,2.0.00,100%,28.2℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,,,sample_channel,4G:3本,表示,通常,79%,2019-11-16,,2019-10-24 13:24:19(3週間前),2019-10-24 12:58:42(3週間前),2019-10-24 22:23:54(3週間前),2019-07-12 10:50:54(4ヶ月前)
2019-11-20 09:50:25(17分前),001333,C1-281,オーチュー小網町ビル,本番中,正常,3.0.20,100%,25.7℃,20%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030804154,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-05-30 17:13:03(5ヶ月前),2019-10-13 22:47:54(1ヶ月前),2019-11-03 04:06:27(2週間前),2019-04-02 11:16:31(7ヶ月前)
2019-11-20 09:50:26(18分前),000287,G-474,ワークスタジオ01,本番中,正常,3.0.20,100%,28℃,20%,曇,13℃,50,良好,充電 248mAh,Huawei T3 10,868355032407230,不正,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2018-11-19 10:43:53(1年前),2019-10-03 17:30:04(1ヶ月前),2019-11-11 14:31:40(1週間前),2018-10-19 16:25:15(1年前)
2019-11-20 09:50:27(17分前),010005,Y4-763,グリフィン横浜・保土ヶ谷駅前,本番中,正常,3.0.20,100%,24.7℃,20%,曇,12℃,50,良好,流出 9mAh,Lenovo TAB4 SIM,866423030743014,不正,201909_mitsubachi-einekleine,3G:2本,表示,通常,0%,2019-11-17,,2019-10-02 18:01:01(1ヶ月前),2019-11-17 10:19:01(2日前),2019-11-17 10:19:55(2日前),2019-07-11 09:44:09(4ヶ月前)
2019-11-20 09:50:28(17分前),010555,OS1-682,村上ビル・ユーズレジデンス北加賀屋,本番中,正常,3.0.20,100%,21.7℃,20%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030758301,正常,sample_channel,4G:4本,表示,通常,0%,2019-11-17,,2019-11-08 12:15:50(1週間前),2019-11-07 13:34:03(1週間前),2019-11-08 12:32:05(1週間前),2019-10-23 10:07:18(4週間前)
2019-11-20 09:50:28(17分前),001090,I-238,プレール・ドゥーク池上,本番中,正常,3.0.20,100%,25.5℃,40%,曇,14℃,50,良好,流出 2mAh,Lenovo TAB4 SIM,866423030613993,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-03-28 15:39:33(7ヶ月前),2019-11-19 01:16:41(1日前),2019-11-19 01:17:36(1日前),2019-03-18 14:44:04(8ヶ月前)
2019-11-20 09:50:29(17分前),001981,Y4-713,東急ドエルステージ21磯子,本番中,正常,3.0.20,100%,22.7℃,20%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030791393,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-08-26 14:46:35(2ヶ月前),2019-11-15 18:21:23(4日前),2019-11-15 18:22:22(4日前),2019-06-11 10:58:45(5ヶ月前)
2019-11-20 09:50:30(17分前),001809,HK3-954,ライブグレース,本番中,正常,3.0.20,100%,12℃,20%,雪,-6℃,90,不明,0,Lenovo TAB4 SIM,866423030801143,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-06-26 13:26:16(4ヶ月前),2019-11-02 15:46:34(2週間前),2019-11-02 15:47:20(2週間前),2019-04-19 11:51:51(7ヶ月前)
2019-11-20 09:50:31(17分前),a00152,M-792,センティード東向島,本番中,正常,3.0.20,94%,24℃,20%,曇,11℃,50,良好,流出 788mAh,Huawei T3 10,868355033798397,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-09-13 11:10:35(1年前),2019-11-16 01:20:22(4日前),2019-11-19 18:57:06(15時間前),2018-09-04 16:42:24(1年前)
2019-11-20 09:50:32(17分前),001534,Y4-669,リヴシティ妙蓮寺,本番中,正常,3.0.20,100%,25.2℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030675281,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-06-19 18:09:31(5ヶ月前),2019-11-06 02:46:09(2週間前),2019-11-06 02:47:04(2週間前),2019-04-12 14:49:20(7ヶ月前)
2019-11-20 09:50:32(17分前),010311,FU-270,天神テルラビル,本番中,正常,3.0.00,100%,23.7℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030745522,正常,sample_channel,4G:4本,表示,通常,0%,2019-11-17,,2019-10-21 12:12:03(4週間前),2019-11-07 08:56:00(1週間前),2019-11-07 08:56:55(1週間前),2019-09-24 16:13:26(1ヶ月前)
2019-11-20 09:50:33(17分前),000400,N-117,アーデン駒沢パークフロント,本番中,正常,3.0.20,95%,31℃,20%,曇,11℃,50,良好,充電 293mAh,Huawei T3 10,868355037429502,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-02-07 11:21:21(9ヶ月前),2019-11-05 20:30:26(2週間前),2019-11-17 10:58:56(2日前),2018-11-26 16:28:21(11ヶ月前)
2019-11-20 09:50:33(17分前),001966,AN2-202,さくら総合病院コンドル館,本番中,正常,3.0.20,100%,27.2℃,40%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030790999,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-16 13:36:30(3ヶ月前),2019-09-27 23:45:01(1ヶ月前),2019-11-18 13:03:08(1日前),2019-06-06 16:08:37(5ヶ月前)
2019-11-20 09:50:34(17分前),000778,J-396,rapt松が谷,本番中,正常,3.0.20,100%,23.7℃,0%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030631763,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-03-18 11:19:46(8ヶ月前),2019-10-20 21:53:24(4週間前),2019-11-11 21:31:38(1週間前),2019-02-04 14:03:29(9ヶ月前)
2019-11-20 09:50:34(17分前),000328,D-830,松尾ビル,本番中,正常,3.0.20,100%,27℃,20%,曇,12℃,50,良好,充電 243mAh,Huawei T3 10,868355032408915,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-11-13 14:50:39(1年前),2019-11-18 01:32:51(2日前),2019-11-18 01:34:34(2日前),2018-11-02 16:07:59(1年前)
2019-11-20 09:50:35(17分前),000405,ST-569,セントエルモ武蔵浦和,本番中,正常,3.0.20,100%,23℃,40%,曇,14℃,50,良好,充電 266mAh,Huawei T3 10,868355037430369,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-01-29 10:54:34(9ヶ月前),2019-11-18 13:24:08(1日前),2019-11-18 13:25:19(1日前),2018-11-26 16:51:33(11ヶ月前)
2019-11-20 09:50:36(17分前),000641,AN1-993,中駒名駅南マンション,本番中,正常,3.0.20,100%,21.2℃,40%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030631565,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-02-01 15:44:28(9ヶ月前),2019-11-13 05:21:27(1週間前),2019-11-13 05:22:20(1週間前),2019-01-28 13:12:33(9ヶ月前)
2019-11-20 09:50:38(17分前),010280,ST5-014,明生リハビリテーション病院,本番中,正常,2.2.90,100%,27.2℃,0%,晴,12℃,50,良好,0,Lenovo TAB4 SIM,866423030742982,,sample_channel,4G:3本,表示,通常,3%,2019-11-16,,2019-10-31 15:13:21(2週間前),2019-10-31 14:21:10(2週間前),2019-11-04 10:42:59(2週間前),2019-09-18 13:08:55(2ヶ月前)
2019-11-20 09:50:38(17分前),000204,E1-063,内神田NTビル,本番中,正常,3.0.20,100%,26℃,20%,曇,13℃,50,良好,流出 821mAh,Huawei T3 10,868355032409210,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-10-01 14:01:49(1年前),2019-11-16 11:00:32(3日前),2019-11-16 11:01:38(3日前),2018-09-20 15:39:25(1年前)
2019-11-20 09:50:39(17分前),000860,V-436,シティインデックス西日暮里,本番中,正常,3.0.20,100%,26.7℃,40%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030629072,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-28 16:12:29(8ヶ月前),2019-11-10 15:14:42(1週間前),2019-11-10 15:15:29(1週間前),2019-02-08 13:39:45(9ヶ月前)
2019-11-20 09:50:40(17分前),010438,OS1-513,ライフエーフラット,本番中,正常,3.0.20,100%,21.7℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030744160,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-10-16 11:49:53(1ヶ月前),2019-11-19 13:49:25(20時間前),2019-11-19 13:50:18(20時間前),2019-10-07 11:06:45(1ヶ月前)
2019-11-20 09:50:41(17分前),001328,HK1-323,Wise・Place,本番中,正常,3.0.20,100%,13℃,20%,曇,-1℃,50,不明,流出 2mAh,Lenovo TAB4 SIM,866423030670225,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-05-29 10:51:58(5ヶ月前),2019-10-06 08:02:06(1ヶ月前),2019-11-19 19:52:45(14時間前),2019-04-01 11:51:03(7ヶ月前)
2019-11-20 09:50:41(17分前),001319,OS1-281,イカルス日本橋,本番中,正常,3.0.20,100%,23.2℃,40%,曇,11℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030803362,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-04-08 11:23:20(7ヶ月前),2019-11-11 05:16:42(1週間前),2019-11-11 05:17:28(1週間前),2019-04-01 11:33:05(7ヶ月前)
2019-11-20 09:50:42(17分前),000544,HK2-492,クレア西岡,本番中,正常,3.0.20,100%,21℃,20%,雪,-6℃,50,良好,0,Lenovo TAB4 SIM,866423030544008,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-28 14:18:44(8ヶ月前),2019-09-07 06:33:25(2ヶ月前),2019-11-18 03:22:33(2日前),2018-12-13 15:53:43(11ヶ月前)
